الرقم,الشركة,القطاع,المدينة,اسم_جهة_التواصل,دور_جهة_التواصل,المصدر,فرضية_الألم,درجة_الملاءمة,الإجراء_التالي,تاريخ_الإجراء_التالي,الحالة,ملاحظات
1,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
2,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
3,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
4,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
5,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
6,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
7,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
8,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
9,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
10,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
11,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
12,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
13,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
14,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
15,,مرافق / مجمع,الرياض,,,,,غير معروف,,,جديد,
16,,مرافق / مجمع,جدة,,,,,غير معروف,,,جديد,
17,,مرافق / مجمع,جدة,,,,,غير معروف,,,جديد,
18,,مرافق / مجمع,جدة,,,,,غير معروف,,,جديد,
19,,مرافق / مجمع,جدة,,,,,غير معروف,,,جديد,
20,,مرافق / مجمع,جدة,,,,,غير معروف,,,جديد,
21,,مرافق / مجمع,جدة,,,,,غير معروف,,,جديد,
22,,مرافق / مجمع,جدة,,,,,غير معروف,,,جديد,
23,,مرافق / مجمع,المنطقة الشرقية,,,,,غير معروف,,,جديد,
24,,مرافق / مجمع,المنطقة الشرقية,,,,,غير معروف,,,جديد,
25,,مرافق / مجمع,المنطقة الشرقية,,,,,غير معروف,,,جديد,
26,,مرافق / مجمع,المنطقة الشرقية,,,,,غير معروف,,,جديد,
27,,مرافق / مجمع,المنطقة الشرقية,,,,,غير معروف,,,جديد,
28,,مرافق / مجمع,المنطقة الشرقية,,,,,غير معروف,,,جديد,
29,,مرافق / مجمع,المنطقة الشرقية,,,,,غير معروف,,,جديد,
30,,مرافق / مجمع,المنطقة الشرقية,,,,,غير معروف,,,جديد,
